Question;SQL;SQL_SQLITE
Musica grande;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1
Qual musica mais demorada?;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1
Qual é a maior musica?;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1
Qual musica e mais longe?;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1
Qual musica tem mais tempo?;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1
Musica curta;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1
Musica pequena;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1
Qual musica mais rapida?;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1
Qual é a menor musica?;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1
Qual musica e mais curta;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1
Qual musica tem menos tempo?;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2  limit 1
Media de valor das musicas;select avg(UnitPrice) from db.tracks;select avg(UnitPrice) from db.tracks
Qual o valor media das musicas?;select avg(UnitPrice) from db.tracks;select avg(UnitPrice) from db.tracks
Quando em media custa uma musica?;select avg(UnitPrice) from db.tracks;select avg(UnitPrice) from db.tracks
Quantas playlists existem?;"SELECT count(*) FROM db.playlists;";"SELECT count(*) FROM db.playlists;"
Quantas listas de reproducao existem?;"SELECT count(*) FROM db.playlists;";"SELECT count(*) FROM db.playlists;"
Quantos generos de musica temos?;"SELECT count(*) FROM db.genres;";"SELECT count(*) FROM db.genres;"
Total de generos;"SELECT count(*) FROM db.genres;";"SELECT count(*) FROM db.genres;"
Qual o genero com mais musicas?;"SELECT genres.Name, count(tracks.name) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId group by genres.Name order by 2 desc limit 1;";"SELECT genres.Name, count(tracks.name) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId group by genres.Name order by 2 desc limit 1;"
Qual genero tem mais?;"SELECT genres.Name, count(tracks.name) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId group by genres.Name order by 2 desc limit 1;";"SELECT genres.Name, count(tracks.name) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId group by genres.Name order by 2 desc limit 1;"
Qual o genero com menos musicas?;"SELECT genres.Name, count(tracks.name) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId group by genres.Name order by 2  limit 1;";"SELECT genres.Name, count(tracks.name) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId group by genres.Name order by 2  limit 1;"
Qual o genero tem menos?;"SELECT genres.Name, count(tracks.name) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId group by genres.Name order by 2  limit 1;";"SELECT genres.Name, count(tracks.name) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId group by genres.Name order by 2  limit 1;"
Genero mais popular;"SELECT genres.Name, sum(invoice_items.quantity) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId left join invoice_items on tracks.trackid = invoice_items.trackid group by genres.Name order by 2 desc limit 1;";"SELECT genres.Name, sum(invoice_items.quantity) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId left join invoice_items on tracks.trackid = invoice_items.trackid group by genres.Name order by 2 desc limit 1;"
Genero mais escutado;"SELECT genres.Name, sum(invoice_items.quantity) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId left join invoice_items on tracks.trackid = invoice_items.trackid group by genres.Name order by 2 desc limit 1;";"SELECT genres.Name, sum(invoice_items.quantity) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId left join invoice_items on tracks.trackid = invoice_items.trackid group by genres.Name order by 2 desc limit 1;"
Genero mais impopular;"SELECT genres.Name, sum(invoice_items.quantity) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId left join invoice_items on tracks.trackid = invoice_items.trackid group by genres.Name order by 2  limit 1;";"SELECT genres.Name, sum(invoice_items.quantity) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId left join invoice_items on tracks.trackid = invoice_items.trackid group by genres.Name order by 2  limit 1;"
Genero menos escutado;"SELECT genres.Name, sum(invoice_items.quantity) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId left join invoice_items on tracks.trackid = invoice_items.trackid group by genres.Name order by 2  limit 1;";"SELECT genres.Name, sum(invoice_items.quantity) FROM db.genres left join db.tracks on genres.GenreId = tracks.GenreId left join invoice_items on tracks.trackid = invoice_items.trackid group by genres.Name order by 2  limit 1;"
